range_km2,iucn_sid
12201631.75976385,10030
230.5382074187193,10056
967271.9355984817,10057
2775018.9219180853,10060
645460.688002659,10063
229898.11089593646,10064
268756.0237184085,10065
2441506.9871196197,10066
1653901.158126202,10069
6718877.888769192,10070
526521.3132027553,10072
287846.1588515565,10074
44592.55066312799,10077
1519048.5346299596,10082
8274.924314629461,10083
7802010.11696119,10087
61632.292971736526,10088
527199.8290723512,10089
796580.2271118346,101729662
182102.47639321844,101730467
404446.09484633594,101730582
19723.241925555878,103054942
86488.50291649855,103055306
87122.48297666573,103055459
21255409.308212776,10340
6673571.018925139,103422139
8281.910322871083,104019954
478447.1117932206,104023514
491502.2108376022,104050689
4344180.698411069,104061138
29560018.032606926,104062546
3960960.709794013,104062579
774225.8806705062,104176764
24323374.172778923,10707
91634082.44214682,10708
5108609.578672794,107259870
1442525.569305375,107261083
2101464.8832503622,107261198
66161.8447008907,107604242
106251.91438275209,107604828
306067.4094137483,107604987
173148.1630112992,107605014
185326.5182661931,10939
253815574.51846611,11047
238416131.61674815,11048
90109.87387339826,110834677
200386911.06077814,110847130
1475.7938021487032,110903105
1718348.811767269,11130
175601307.78976998,11140
10222067.444993721,11141
12651093.932045104,11142
966648.4346545943,11143
62345690.808145195,11144
15220664.017733773,11145
7791721.476076859,11146
4575760.690322367,11150
93241651.53373246,11200
134381.9415046836,112664105
187578.63198876573,112664138
15226.000442991584,114154997
691064.4631308517,114164022
4685.863640533286,114164094
128000.2249401599,114164251
13678470.844767397,11533
79556799.8461328,11534
51552.35932226073,116847578
100928.57771571897,116855477
569654.6618323243,116857982
744261.1536102104,116863205
7924.7507520898225,116863615
31170.686291553302,116863801
60016.77902916026,116864194
51775.03824698684,116864416
356281.9485698658,116878521
13814.827204481822,116878536
94401.9014341273,116878550
142092.74582857243,116878564
600763.3472930575,116878608
664419.8355411079,116878630
745625.1713568567,116880357
21255409.308212776,11696
18702.41177493198,117636167
67094.47654253438,118357019
2231743.419092197,118358386
255844.13783117136,118358912
490566.08594145346,118359431
228079.12953948972,118360372
767524.5542430988,118360435
733078.304167611,118360643
10024104.11470451,12125
85150382.33848585,12126
146252.03926616893,12137
20378138.96330642,12246
208015.31939656468,12302
168935.60126774883,12303
12364.357691164,12305
5110.263516432108,123361228
105710.49866077445,12419
8632.957122860806,12421
21878.424772164013,12427
7290.770691922637,124357224
157332.71826482328,124357844
244807.9945545607,124357891
18174.095058125993,124396026
1901.9401805015573,124396124
31952.24572248832,124396530
105.66334336119763,124397220
748079.879301904,124569516
1135214.6507946274,124696811
18005696.506320555,126710128
19277.88402621148,12695
55345555.438274786,127826787
346060940.36038816,13006
336955.16244630504,130389813
217.43944058798712,130391495
590150.730673396,130393378
87026624.49534303,132341128
14393227.474816885,13241
56257910.37912222,13242
13505230.990553115,13243
39332376.175521724,132434704
110124639.2134301,132438298
240775291.05587256,13244
6038773.595693504,132441735
45997184.99593245,13245
4245338.316556369,132450926
107617099.6229843,13246
12533851.28332447,132467692
126311.35784964084,132468585
